Common genet
"Mongoose, yellow"
"Squirrel, uinta ground"
Common wolf
"Bear, american black"
"Cormorant, neotropic"
Euro wallaby
Ocelot
"Fox, blue"
Dingo
"Goose, andean"
"Bandicoot, southern brown"
"Sifaka, verreaux's"
"Lemming, collared"
"Langur, gray"
"Glider, feathertail"
Campo flicker
Southern white-crowned shrike
Worm snake (unidentified)
"Rhea, common"
"Dragon, komodo"
Bennett's wallaby
Black-tailed tree creeper
Pied avocet
"Lizard, collared"
Chameleon (unidentified)
Four-spotted skimmer
Little cormorant
"Hyena, spotted"
Sable antelope
Ring-necked pheasant
Collared lemming
Steller's sea lion
"Racer, american"
"Kingfisher, white-throated"
"Eagle, pallas's fish"
Bat-eared fox
"Crake, african black"
"Hedgehog, south african"
"Insect, stick"
"Cormorant, flightless"
"Hyena, brown"
Wild turkey
"Possum, ring-tailed"
"Booby, blue-footed"
"Wallaby, dama"
Giraffe
Black-crowned crane
Grey phalarope
White-fronted bee-eater
Black curlew
"Whale, southern right"
"Iguana, common green"
Cape wild cat
"Whale, killer"
Osprey
Red-billed hornbill
"Stork, woolly-necked"
Snake-necked turtle
Tasmanian devil
"Heron, giant"
"Tortoise, radiated"
"Seal, common"
"Heron, gray"
"Antechinus, brown"
Red-legged pademelon
Uinta ground squirrel
"Otter, canadian river"
Red-breasted nuthatch
Pacific gull
Grey phalarope
African snake (unidentified)
Western lowland gorilla
"Weaver, red-billed buffalo"
"Cormorant, little"
"Kangaroo, brush-tailed rat"
Black-fronted bulbul
Kirk's dik dik
"Crake, african black"
Swallow-tail gull
Hummingbird (unidentified)
"Macaque, bonnet"
"Legaan, ground"
Comb duck
Groundhog
Common long-nosed armadillo
Greater flamingo
Carmine bee-eater
Asiatic wild ass
Woolly-necked stork
Mudskipper (unidentified)
Richardson's ground squirrel
"Cobra, egyptian"
"Brocket, red"
"Lizard, giant girdled"
Chimpanzee
"Waxbill, violet-eared"
Nubian bee-eater
North American river otter
"Stork, jabiru"
Woodchuck
White spoonbill
"Shrike, southern white-crowned"
Crested porcupine
Scarlet macaw
Giant armadillo
Common seal
"Badger, american"
"Lemur, grey mouse"
"Bat, madagascar fruit"
Malachite kingfisher
"Mouse, four-striped grass"
"Cormorant, king"
Mexican wolf
"Vulture, egyptian"
Asiatic jackal
"Stork, woolly-necked"
"Gecko, barking"
"Squirrel, smith's bush"
Adouri (unidentified)
Striped dolphin
"Colobus, magistrate black"
Brown hyena
Cheetah
"Cockatoo, red-breasted"
"Heron, giant"
"Crane, stanley"
Pampa gray fox
Grey heron
"Monkey, bleeding heart"
Eurasian badger
Savannah deer
Australian spiny anteater
Common melba finch
Chameleon (unidentified)
Asian openbill
"Duiker, common"
Greater rhea
Yellow-billed stork
"Fox, arctic"
Water legaan
Columbian rainbow boa
Coyote
"Deer, savannah"
Greater kudu
"Stork, black-necked"
Marine iguana
"Heron, grey"
"Possum, golden brush-tailed"
"Dove, white-winged"
Tarantula
"Woodpecker, red-headed"
Black kite
Collared peccary
Brazilian otter
"Porcupine, north american"
Levaillant's barbet
Blacksmith plover
"Crane, black-crowned"
Agouti
"Toucan, red-billed"
"Cockatoo, roseate"
Blue racer
Red-breasted cockatoo
"Squirrel, red"
Striated heron
Crested barbet
Dromedary camel
Blue peacock
Malagasy ground boa
Chestnut weaver
Topi
Glossy starling (unidentified)
"Fox, silver-backed"
Common wombat
Tsessebe
"Bushbaby, large-eared"
"Bee-eater, nubian"
Ibex
Black spider monkey
Springhare
"Quoll, spotted-tailed"
"Legaan, Monitor (unidentified)"
"Hedgehog, south african"
"Vulture, oriental white-backed"
"Eland, common"
"Deer, barasingha"
Cape cobra
Sockeye salmon
"Lemming, arctic"
Wild boar
"Stork, openbill"
"Meerkat, red"
Hottentot teal
Ring dove
"Fox, savanna"
"Heron, boat-billed"
Netted rock dragon
"Deer, barasingha"
Blue crane
American racer
Asian false vampire bat
Pied kingfisher
Woodchuck
"Leopard, indian"
Spotted hyena
Cape white-eye
"Snake, western patch-nosed"
"Lion, southern sea"
Guerza
"Teal, hottentot"
"Bird, red-billed tropic"
African darter
Arboral spiny rat
"Whale, long-finned pilot"
"Squirrel, eurasian red"
Arctic lemming
Scottish highland cow
Grizzly bear
African ground squirrel (unidentified)
"Sheep, red"
Red-headed woodpecker
"Macaque, bonnet"
Malagasy ground boa
"Sloth, hoffman's"
Common eland
"Gecko, bent-toed"
"Sloth, two-toed tree"
Horned rattlesnake
"Penguin, magellanic"
Indian porcupine
"Vulture, king"
Asian water dragon
"Eagle, tawny"
Bush dog
"Openbill, asian"
Burmese brown mountain tortoise
Indian star tortoise
South American meadowlark (unidentified)
Black-fronted bulbul
Red-shouldered glossy starling
Black-tailed tree creeper
Red howler monkey
"Bison, american"
Great white pelican
Common genet
Kaffir cat
"Deer, barasingha"
"Kudu, greater"
"Waxbill, violet-eared"
Caracal
"Hornbill, leadbeateri's ground"
Long-tailed skua
White-faced tree rat
"Quoll, eastern"
Red meerkat
"Snake, racer"
Southern brown bandicoot
Coyote
Buttermilk snake
"Otter, canadian river"
"Civet, small-toothed palm"
Long-necked turtle
Eleven-banded armadillo (unidentified)
"Lion, african"
Malay squirrel (unidentified)
African snake (unidentified)
"Gecko, ring-tailed"
"Bird, pied butcher"
Hyrax
"Lizard, mexican beaded"
Common boubou shrike
Kinkajou
"Weaver, lesser masked"
"Oryx, fringe-eared"
"Bee-eater, carmine"
Golden eagle
Bontebok
Galah
"Eagle, golden"
Brush-tailed bettong
"Skunk, striped"
"Monitor, two-banded"
Western bearded dragon
Cape cobra
Plains zebra
"Waterbuck, common"
Greater blue-eared starling
"Squirrel, european red"
"Woodpecker, downy"
Margay
"Python, carpet"
"Skua, great"
"Shark, blue"
Roseate cockatoo
"Crow, house"
"Deer, savannah"
"Boa, mexican"
"Whale, southern right"
Malabar squirrel
"Raven, white-necked"
Bat-eared fox
"Camel, dromedary"
"Hornbill, yellow-billed"
Wood pigeon
Common waterbuck
"Sheep, red"
Mocking cliffchat
"Sheep, stone"
Common wombat
"Mongoose, javan gold-spotted"
"Kookaburra, laughing"
"Pelican, eastern white"
Ringtail cat
"Waxbill, black-cheeked"
Secretary bird
"Otter, cape clawless"
White-mantled colobus
"Barbet, black-collared"
Sidewinder
"Bird, bare-faced go away"
White-mantled colobus
White-winged black tern
"Goose, cereopsis"
"Bear, american black"
"Squirrel, antelope ground"
Radiated tortoise
Magnificent frigate bird
"Skunk, western spotted"
Tayra
"Bandicoot, southern brown"
Sable antelope
Caracara (unidentified)
Southern brown bandicoot
Indian peacock
Tarantula
Tiger
"Screamer, crested"
"Penguin, magellanic"
"Lizard, giant girdled"
Green-winged macaw
Blacksmith plover
Eleven-banded armadillo (unidentified)
"Phalarope, grey"
"Colobus, magistrate black"
"Hartebeest, coke's"
Red-tailed wambenger
Black rhinoceros
Capybara
"Owl, madagascar hawk"
Hanuman langur
"Eagle, golden"
Crested porcupine
Great cormorant
"Gecko, barking"
Long-billed cockatoo
"Peacock, indian"
Tasmanian devil
Native cat
"Sunbird, lesser double-collared"
Gray langur
"Plover, blacksmith"
Eastern box turtle
Rock dove
Southern boubou
"Penguin, fairy"
"Jacana, african"
Barasingha deer
"Antelope, sable"
"Langur, hanuman"
African jacana
South American sea lion
"Armadillo, nine-banded"
White-faced tree rat
Two-toed sloth
"Wolf, timber"
"Swan, trumpeter"
Grison
Southern lapwing
"Eagle, african fish"
Wild water buffalo
Long-crested hawk eagle
Northern phalarope
Common waterbuck
Steller sea lion
Eurasian hoopoe
"Squirrel, red"
Japanese macaque
African black crake
Smith's bush squirrel
Feathertail glider
"Coatimundi, ring-tailed"
Snake-necked turtle
"Lemming, arctic"
"Eagle, golden"
Frog (unidentified)
"Heron, gray"
"Heron, green-backed"
"Jackal, silver-backed"
Cook's tree boa
Barrows goldeneye
Slender loris
Asiatic jackal
"Skunk, striped"
"Tortoise, asian foreset"
"Kangaroo, western grey"
Blue and gold macaw
